COPPos,ID,
-2840.18891885364,1673.70629259446,1,
-2840.18891885364,1673.70629259446,1,
-2841.5386251797,1679.55251298317,1,
-2839.28911463626,1669.80881233532,1,
-2839.28911463626,1669.80881233532,1,
-2839.96396779929,1672.73192252968,1,
-2844.01308677748,1690.27058369581,1,
-2844.01308677748,1690.27058369581,1,
-2844.01308677748,1690.27058369581,1,
-2842.21347834273,1682.47562317753,1,
-2842.21347834273,1682.47562317753,1,
-2842.21347834273,1682.47562317753,1,
-2842.66338045142,1684.4243633071,1,
-2842.88833150576,1685.39873337189,1,
-2847.1624015383,1703.91176460281,1,
-2844.46298888617,1692.21932382538,1,
-2838.61426147323,1666.88570214097,1,
-2840.63882096232,1675.65503272403,1,
-2840.63882096232,1675.65503272403,1,
-2840.63882096232,1675.65503272403,1,
-2839.06416358192,1668.83444227054,1,
-2838.38931041889,1665.91133207618,1,
-2839.73901674495,1671.75755246489,1,
-2838.83921252757,1667.86007220575,1,
-2843.56318466879,1688.32184356624,1,
-2840.18891885364,1673.70629259446,1,
-2840.18891885364,1673.70629259446,1,
-2837.26455514717,1661.03948175225,1,
-2841.5386251797,1679.55251298317,1,
-2839.06416358192,1668.83444227054,1,
-2839.06416358192,1668.83444227054,1,
-2838.16435936454,1664.9369620114,1,
-2837.26455514717,1661.03948175225,1,
-2837.26455514717,1661.03948175225,1,
-2837.71445725585,1662.98822188182,1,
-2837.26455514717,1661.03948175225,1,
-2837.48950620151,1662.01385181704,1,
-2840.63882096232,1675.65503272403,1,
-2841.5386251797,1679.55251298317,1,
-2836.36475092979,1657.14200149311,1,
-2836.36475092979,1657.14200149311,1,
-2836.58970198413,1658.1163715579,1,
-2836.36475092979,1657.14200149311,1,
-2835.68989776676,1654.21889129876,2,
-2834.11524038635,1647.39830084526,3,
-2834.11524038635,1647.39830084526,3,
-2835.68989776676,1654.21889129876,3,
-2835.01504460373,1651.2957811044,4,
-2835.01504460373,1651.2957811044,4,
-2837.03960409282,1660.06511168747,5,
-2837.03960409282,1660.06511168747,5,
-2839.06416358192,1668.83444227054,5,
-2840.63882096232,1675.65503272403,5,
-2842.21347834273,1682.47562317753,5,
-2840.18891885364,1673.70629259446,5,
-2840.18891885364,1673.70629259446,5,
-2840.18891885364,1673.70629259446,5,
-2839.73901674495,1671.75755246489,5,
-2841.76357623404,1680.52688304796,5,
-2843.33823361445,1687.34747350146,5,
-2843.78813572314,1689.29621363103,5,
-2845.36279310355,1696.11680408452,5,
-2845.36279310355,1696.11680408452,5,
-2843.11328256011,1686.37310343667,5,
-2844.46298888617,1692.21932382538,5,
-2846.71249942961,1701.96302447323,5,
-2844.01308677748,1690.27058369581,5,
-2843.78813572314,1689.29621363103,5,
-2844.91289099486,1694.16806395495,5,
-2843.33823361445,1687.34747350146,5,
-2843.33823361445,1687.34747350146,5,
-2840.86377201667,1676.62940278882,5,
-2841.5386251797,1679.55251298317,5,
-2837.03960409282,1660.06511168747,5,
-2841.98852728839,1681.50125311274,5,
-2837.9394083102,1663.96259194661,5,
-2837.9394083102,1663.96259194661,5,
-2839.06416358192,1668.83444227054,6,
-2839.06416358192,1668.83444227054,6,
-2839.73901674495,1671.75755246489,6,
-2839.28911463626,1669.80881233532,6,
-2839.28911463626,1669.80881233532,6,
-2841.5386251797,1679.55251298317,6,
-2838.38931041889,1665.91133207618,7,
-2838.38931041889,1665.91133207618,7,
-2837.71445725585,1662.98822188182,7,
-2839.96396779929,1672.73192252968,7,
-2839.73901674495,1671.75755246489,7,
-2839.73901674495,1671.75755246489,7,
-2842.43842939708,1683.44999324232,7,
-2841.5386251797,1679.55251298317,7,
-2839.73901674495,1671.75755246489,7,
-2839.73901674495,1671.75755246489,7,
-2839.51406569061,1670.78318240011,8,
-2843.11328256011,1686.37310343667,8,
-2839.96396779929,1672.73192252968,8,
-2838.83921252757,1667.86007220575,8,
-2842.88833150576,1685.39873337189,8,
-2842.88833150576,1685.39873337189,8,
-2841.5386251797,1679.55251298317,8,
-2840.41386990798,1674.68066265925,8,
-2840.41386990798,1674.68066265925,8,
-2842.43842939708,1683.44999324232,8,
-2843.11328256011,1686.37310343667,8,
-2843.33823361445,1687.34747350146,8,
-2841.08872307101,1677.6037728536,8,
-2841.08872307101,1677.6037728536,8,
-2839.51406569061,1670.78318240011,8,
-2838.61426147323,1666.88570214097,8,
-2842.43842939708,1683.44999324232,8,
-2841.76357623404,1680.52688304796,8,
-2839.28911463626,1669.80881233532,8,
-2842.21347834273,1682.47562317753,8,
-2842.21347834273,1682.47562317753,8,
-2839.96396779929,1672.73192252968,8,
-2839.73901674495,1671.75755246489,8,
-2840.41386990798,1674.68066265925,8,
-2840.18891885364,1673.70629259446,8,
-2840.41386990798,1674.68066265925,8,
-2841.76357623404,1680.52688304796,8,
-2844.46298888617,1692.21932382538,8,
-2843.78813572314,1689.29621363103,8,
-2839.28911463626,1669.80881233532,8,
-2843.56318466879,1688.32184356624,8,
-2840.41386990798,1674.68066265925,8,
-2843.11328256011,1686.37310343667,8,
-2843.11328256011,1686.37310343667,8,
-2839.06416358192,1668.83444227054,8,
-2842.43842939708,1683.44999324232,8,
-2842.43842939708,1683.44999324232,8,
-2842.21347834273,1682.47562317753,8,
-2841.08872307101,1677.6037728536,8,
-2841.08872307101,1677.6037728536,8,
-2839.73901674495,1671.75755246489,8,
-2839.96396779929,1672.73192252968,8,
-2840.41386990798,1674.68066265925,8,
-2840.41386990798,1674.68066265925,8,
-2841.76357623404,1680.52688304796,8,
-2839.51406569061,1670.78318240011,8,
-2839.51406569061,1670.78318240011,8,
